latitude,longitude
22044177@N08,240921-Beast-43-_R5_0207,5576432,16,40.155638,-105.129075
22044177@N08,240921-Beast-18-_R5_0046,5576432,16,40.155638,-105.129075
22044177@N08,240921-Beast-10-_R5_0013,5576432,16,40.155638,-105.129075
22044177@N08,240921-Beast-6-_R5_0008,5576432,16,40.155638,-105.129075
22044177@N08,240921-Beast-4-_R5_0006,5576432,16,40.155638,-105.129075
22044177@N08,240921-Beast-85-_R5_0433,5576432,16,40.155638,-105.129075
57331821@N03,20240923-1DX_3847,8479321,16,39.850019,-105.090014
57331821@N03,20240923-1DX_3833,8479321,16,39.849813,-105.089628
57331821@N03,20240923-1DX_3645,8479321,16,39.849827,-105.089553
57331821@N03,20240923-1DX_3658,8479321,16,39.849886,-105.089789
57331821@N03,20240923-1DX_3706,8479321,16,39.849797,-105.089637
57331821@N03,20240923-1DX_3685,8479321,16,39.849722,-105.089495
201500804@N06,IMG_4871,5574991,16,40.012397,-105.275545
200896493@N07,,11788986,16,39.880530,-105.074570
87296837@N00,Colorado Law - University of Colorado Boulder Law School,5574991,16,40.000663,-105.262737
57331821@N03,20240915-1DX_3041,5423294,16,39.751811,-105.229759
57331821@N03,20240910-1DX_1826,11788318,16,39.742897,-105.211031
201397503@N05,Hope;ink 2024,7174565,16,39.914394,-104.954728
57331821@N03,2024-09-07--1DX_1635,7130614,16,39.804836,-105.221206
64706869@N00,Shelby museum,7261393,16,40.065977,-105.202370
64706869@N00,Shelby museum,7261393,16,40.065808,-105.202239
201267507@N02,,7150684,16,39.809277,-105.173492
33515112@N00,Colorado license plate,5579276,16,40.163277,-105.102464
201337786@N05,IMG_9055,5574257,16,40.194733,-105.526620
87180412@N02,cogent world - modelo cooler install photos_Page_06,5574991,16,40.009625,-105.265581
22044177@N08,20240713-R62_1876,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_1904,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2068,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2102,5576432,16,40.155638,-105.129075
22044177@N08,20240713-R62_2108,5576432,16,40.155638,-105.129075
