radius,latitude,longitude,google_maps_link,gaia_gps_link
5.0,40.376165,-105.314197,https://www.google.com/maps?q=40.376165211170125,-105.31419668606367,https://www.gaiagps.com/map/?lat=40.376165211170125&lon=-105.31419668606367&zoom=15
5.5,40.007575,-105.277103,https://www.google.com/maps?q=40.0075754728255,-105.27710348019252,https://www.gaiagps.com/map/?lat=40.0075754728255&lon=-105.27710348019252&zoom=15
6.0,40.002147,-105.275620,https://www.google.com/maps?q=40.002147242170714,-105.27562019460075,https://www.gaiagps.com/map/?lat=40.002147242170714&lon=-105.27562019460075&zoom=15
6.5,39.996783,-105.273610,https://www.google.com/maps?q=39.99678294565352,-105.27361038139533,https://www.gaiagps.com/map/?lat=39.99678294565352&lon=-105.27361038139533&zoom=15
7.0,40.158585,-105.583380,https://www.google.com/maps?q=40.158584995151855,-105.58337972820777,https://www.gaiagps.com/map/?lat=40.158584995151855&lon=-105.58337972820777&zoom=15
7.5,40.021822,-105.325166,https://www.google.com/maps?q=40.02182240815455,-105.32516630933958,https://www.gaiagps.com/map/?lat=40.02182240815455&lon=-105.32516630933958&zoom=15
8.0,39.980191,-105.239131,https://www.google.com/maps?q=39.98019130217268,-105.23913112452527,https://www.gaiagps.com/map/?lat=39.98019130217268&lon=-105.23913112452527&zoom=15
