Latitude,Longitude
39.8321691,-105.2824904
39.8326222,-105.289844
39.81917079999999,-105.2851462
39.8189179,-105.2866017
39.8188135,-105.2865307
39.8564532,-105.2746736
39.86138649999999,-105.285065
39.8543262,-105.2516093
39.8811875,-105.2813125
39.91329139999999,-105.2926994
39.9289759,-105.2941
39.9318505,-105.2776093
39.9329151,-105.2736126
39.9319539,-105.27958
39.9305905,-105.2946404
39.9337988,-105.2709728
39.93341519999999,-105.2701424
39.927937,-105.298018
39.9318963,-105.277622
39.9317909,-105.2704774
39.922189,-105.2867776
39.9314,-105.28138
39.9329437,-105.2736636
39.9331839,-105.2739974
39.9322285,-105.280633
39.9294778,-105.29011
39.9269134,-105.2948745
39.9309793,-105.2939662
39.93867289999999,-105.2582441
39.9386447,-105.2580177
39.93823450000001,-105.2566919
39.9380518,-105.2565356
39.9226707,-105.2458111
39.9395961,-105.2561514
39.95238899999999,-105.2902359
39.9413574,-105.2983516
39.9423985,-105.2500075
39.97831790000001,-105.2750307
39.96501199999999,-105.254112
39.96729819999999,-105.2586363
39.9686619,-105.2631821
39.97268279999999,-105.2678348
39.9748047,-105.2679223
39.9603222,-105.2952865
39.9733603,-105.2627899
39.9700219,-105.2584559
39.97184,-105.26046
39.9666893,-105.2555614
39.97080589999999,-105.2914106
39.9650367,-105.2531823
39.97233,-105.260018
39.97780419999999,-105.2750756
39.9743082,-105.2886466
39.966049,-105.253569
39.9740078,-105.289683
39.9774969,-105.2812768
39.9766618,-105.2646954
39.9654459,-105.2520286
39.9641322,-105.250785
39.9786921,-105.2608066
39.9661054,-105.2504773
39.96564,-105.2501949
39.9735142,-105.2559318
39.9776181,-105.2616535
39.97184579999999,-105.2514401
39.97843570000001,-105.2626694
39.9914103,-105.2608241
39.98464059999999,-105.2533032
39.9820054,-105.2915818
39.9823946,-105.2523596
39.9916659,-105.2612294
39.99174000000001,-105.26119
39.9817827,-105.253576
39.98022,-105.2664989
39.98151860000001,-105.2519346
39.9926757,-105.2652816
39.9884877,-105.2578246
39.983082,-105.2533316
39.9830838,-105.2533026
39.9804158,-105.263107
39.9830432,-105.2531715
39.9916184,-105.2611879
39.9817389,-105.2539438
39.9797291,-105.2611199
39.9787795,-105.275466
39.98053549999999,-105.2662562
39.98424929999999,-105.2675273
39.9797188,-105.2643957
39.9844433,-105.2526034
39.99146379999999,-105.2574809
39.9833928,-105.2513194
39.983433,-105.25132
39.9834101,-105.2513393
39.9782288,-105.2598061
39.9839662,-105.2505919
39.9838671,-105.2505925
39.98347990000001,-105.2497158
39.98438,-105.249838
39.984464,-105.249926
39.9827641,-105.2492622
39.9825054,-105.2490095
39.9830139,-105.2493306
39.98431779999999,-105.2493687
39.974702,-105.24867
39.98393900000001,-105.248874
39.98398359999999,-105.2504244
39.97723750000001,-105.2473277
39.9724871,-105.2463001
39.9739613,-105.2456123
39.981588,-105.246977
39.9781107,-105.2427229
40.0073499,-105.2659871
40.0046715,-105.2606163
40.0080325,-105.2763878
40.0085813,-105.2764048
39.99787790000001,-105.2813918
40.0099788,-105.2727874
40.008717,-105.270784
40.0060131,-105.2693522
40.0135099,-105.2782539
40.0063724,-105.2711875
39.999115,-105.2551923
40.0011414,-105.26242
40.00903599999999,-105.2764176
40.0139352,-105.2733969
40.0041357,-105.264909
40.00072839999999,-105.256977
40.0067556,-105.2715368
40.0067684,-105.271947
40.0034476,-105.2745858
40.0077282,-105.2759991
39.9984264,-105.2806716
40.0091973,-105.2749347
39.99969,-105.261043
39.9992078,-105.2543007
39.9992694,-105.2605451
40.00330659999999,-105.2803605
40.00878899999999,-105.2765033
39.999831,-105.260989
39.9999024,-105.2630509
40.0080658,-105.2675658
40.0083795,-105.2851436
40.0079056,-105.2763792
39.9991056,-105.2539444
39.99919959999999,-105.2814996
39.99892860000001,-105.2537508
39.998936,-105.2534116
40.00769469999999,-105.2581016
40.0015095,-105.2563371
40.0069437,-105.2719607
40.0077429,-105.2699631
40.0076165,-105.2715181
40.0078243,-105.2759595
40.0088671,-105.2769211
40.01126790000001,-105.2613915
40.0035992,-105.2634436
